id,name,coordinates,zip_code,industry_type,general_industry
jQHoJQCuobN6VxWk8kOGmQ,Ice Queens,"39.268290, -76.591080",21230,"""Shaved Ice"", ""Desserts"", ""Coffee & Tea""",Food & Dining
lAAQgR-KPhO1UWWwKSYsig,BLK SWAN,"39.284521, -76.598812",21202,"""New American"", ""Cocktail Bars""",Food & Dining
6ZlY9hCNbGLRa-DJpSZG3g,Naturally Chic Salon,"39.270549, -76.601741",21230,"""Hair Salons""",Personal Care
Tb6I8Zjo0e1vty1CHCMiZg,Beulah International,"39.299095, -76.583151",21205,"""African""",Food & Dining
jNWpmqa3MrDUcrXX3Kvb9Q,Free Ink,"39.292740, -76.617350",21201,"""Tattoo"", ""Piercing""",Personal Care
gMgSAUJdvUNan2FS1yhB9g,Unity Bar and Restaurant,"39.296090, -76.617920",21201,"""American"", ""Cocktail Bars""",Food & Dining
kHkVpH4m-dizl40xdv2OHQ,Aunt Kellys Cookies,"39.300018, -76.620284",21201,"""Bakeries""",Food & Dining
7utCeahKMRQlWCfANhkGyA,Elite Secrets Bridal,"39.293556, -76.615499",21201,"""Makeup Artists"", ""Bridal"", ""Sewing & Alterations""",Personal Care
YoU6Jpi2unIczicVrzsZWQ,Pandora's Box Boutique,"39.277090, -76.612698",21230,"""Accessories"", ""Home Decor"", ""Gift Shops""",Retail & Shopping
OIE-mY65W-m8sgHkPkv6Ig,The Place,"39.294700, -76.620700",21201,"""Lounges""",Other
UiXb5zwbl2nUlmLsYoizaQ,Party360 Entertainment,"39.315755, -76.637222",21217,"""Photo Booth Rentals"", ""Party Equipment Rentals""",Entertainment & Recreation
tQfszrAIDmGkH_fuzJ49yg,Slay Naturals ,"39.294813, -76.622169",21201,"""Pop-up Shops"", ""Cosmetics & Beauty Supply""",Retail & Shopping
j6rNDK00hY24raQj8dEtTQ,Releaf Shop,"39.302046, -76.618481",21201,"""Cannabis Clinics"", ""Vape Shops"", ""Head Shops""",Retail & Shopping
4XmPJYZjExyB7AjRBX3ICg,Outkum Enterprise,"39.295206, -76.606478",21202,"""Tires"", ""Towing"", ""Roadside Assistance""",Automotive Services
b_VNNCCPPAF7wHeQVq2rcw,BK Lobster Baltimore,"39.286117, -76.585096",21231,"""Seafood""",Food & Dining
QJi1OYOyc6jYZ5fGdPhzcQ,Eat Drink Relax,"39.301123, -76.617218",21201,"""New American"", ""Bars"", ""Seafood""",Food & Dining
GtOb_9_C7gGLoU6wjdAyqw,Salon D Renee,"39.297480, -76.619808",21201,"""Hair Salons"", ""Waxing""",Personal Care
Ir9umekWV3t0EMpEiLS9UA,TiPi Tent Soirees,"39.294813, -76.622169",21201,"""Party & Event Planning"", ""Party Equipment Rentals""",Entertainment & Recreation
b7eeRDBK61ra_a8cVB0EWw,Crab City Seafood,"39.293543, -76.662137",21223,"""Salad"", ""Seafood"", ""Sandwiches""",Food & Dining
6z_6YlDmkQYiytLK0lauoQ,My+Mamas+Vegan,"39.325140, -76.609740",21218,"""Vegan""",Food & Dining
kBrkyC16whqNRmg4TSvJTw,Döner Brös,"39.280110, -76.597500",21231,"""Kebab"", ""Mediterranean""",Food & Dining
rYVqmetSgbc2SlfNfJqw3g,ButieBeats,"39.294813, -76.622169",21201,"""Makeup Artists""",Personal Care
T8_30SYI2ydul2vljFfpTg,Baltimore Gold Fronts,"39.290803, -76.621175",21201,"""Jewelry Repair"", ""Jewelry"", ""Watches""",Retail & Shopping
MFvW61k93X-h88zvPgsPrQ,Flourish,"39.317251, -76.615154",21218,"""Gift Shops"", ""Spiritual Shop"", ""Candle Stores""",Retail & Shopping
9aAl-_DD2M4h8gXwUlemkA,Docks On The Harbor,"39.285383, -76.607064",21202,"""Steakhouses"", ""Seafood""",Food & Dining
Vfuwwy2Wus5QWKPzbBv2Iw,The Brass Tap,"39.306769, -76.619619",21217,"""Chicken Wings"", ""Beer Bar"", ""American""",Food & Dining
snKk1xhy49CM-7ocLv74xw,Silaca Properties,"39.294813, -76.622169",21201,"""Property Management""",Professional Services
4Dje0yBC-tNClvsRQy3mMg,Taharka Brothers - Cross Street Market,"39.276809, -76.613323",21230,"""Ice Cream & Frozen Yogurt""",Food & Dining
mtj4YqsJeqw0ltudUJlczg,The Purple Peach Nail Weave & Lash Bar,"39.313939, -76.617124",21218,"""Nail Salons"", ""Eyelash Service"", ""Hair Removal""",Personal Care
Ch3EbKdMFd6PI9yZRvP-bg,Tightfisted Fashion,"39.313782, -76.617114",21218,"""Thrift Stores""",Retail & Shopping
uAl0yCFCgJCo6nojvrnsOA,LadyDeeCare,"39.292670, -76.616940",21201,"""Skin Care"", ""Waxing"", ""Nail Salons""",Health & Wellness
p22DQBNURE7TzCUoC7VvLQ,Smoothflicks Banquet Hall,"39.289135, -76.612580",21202,"""Venues & Event Spaces""",Personal Care
TR7Oj7aakCgoGN1sOLrLxw,Camille Intuitive Wellness,"39.324737, -76.630022",21211,"""Massage Therapy"", ""Acupuncture""",Personal Care
n3bY9l_uDccV9X2TxH4rrg,Baltimore Seafood,"39.282840, -76.583750",21224,"""Seafood""",Food & Dining
jM74zBM2z7Y9NnoxeNEZQg,The Crazy Crab Bag,"39.269680, -76.611410",21230,"""Seafood"", ""Food Trucks"", ""Cajun/Creole""",Food & Dining
Izo6Ypt-Qc9sjAQyUTFK_A,JFP Express,"39.308369, -76.630821",21217,"""Movers"", ""Couriers & Delivery Services""",Professional Services
WqcVgboqIliathzUu2gZYg,Motion Boys,"39.294813, -76.622169",21201,"""Home Cleaning"", ""Movers""",Construction & Home Improvement
UaB4fzlp1Tgj6uViM6dDGg,Priss & Posh Events,"39.294813, -76.622169",21201,"""Party & Event Planning""",Other
DZqW6twYILQnRn9h33pR6Q,Tia’s Italian Ice,"39.331012, -76.630768",21211,"""Ice Cream & Frozen Yogurt"", ""Pretzels"", ""Desserts""",Food & Dining
2dIy9KQlWc8BdKMpmuwn6Q,Cross Street Market,"39.276810, -76.613330",21230,"""Public Markets""",Other
qCjMHDshHhRnj1qrpnU6lw,Codetta Bake Shop,"39.279620, -76.612380",21230,"""Bakeries"", ""Cupcakes"", ""Ice Cream & Frozen Yogurt""",Food & Dining
tfG3v-QfKoxdrEX-ACRvvg,Mount Vernon Records,"39.300500, -76.619270",21201,"""Books, Mags, Music & Video""",Retail & Shopping
YGXLuDqdcwG7W7uY1WH36w,Nadirah's Health Spot,"39.295780, -76.622330",21201,"""Life Coach"", ""Counseling & Mental Health"", ""Trainers""",Health & Wellness
etdAtkzZpYiizLJb_yFpFQ,Diaspora Salon,"39.316720, -76.617300",21218,"""Hair Salons""",Personal Care
kEzWA83l2Pu4axldzXwTpg,Platinum Amala Spot,"39.294854, -76.650764",21223,"""African""",Food & Dining
yDaWv_0Ywe61bCrKvK_g8A,princeroes & Suns cleaners,"39.294813, -76.622169",21201,"""Home Cleaning"", ""Office Cleaning""",Professional Services
rX_9cZ2jbXeK2Q8CL9Mb2Q,Denise Larell Hair Studio,"39.320630, -76.572692",21213,"""Hair Salons""",Personal Care
VyQclj1D56eEWMMtEp5Ilg,Pearls Party Providers,"39.304563, -76.576051",21213,"""Party Equipment Rentals"", ""Virtual Reality Centers"", ""Party Supplies""",Entertainment & Recreation
rUeYuEWlZvXyWAb4-p7xZw,Cheezy Mike's Food Emporium,"39.295855, -76.618436",21201,"""Comfort Food"", ""American""",Food & Dining
OYigXEmG2hUuSRMvSoIFaw,Jerry & Linda Taylor Custom Tees,"39.303770, -76.593360",21213,"""Screen Printing/T-Shirt Printing"", ""Graphic Design"", ""Customized Merchandise""",Professional Services
40YDT1f3UkxGunKP0wGnEA,Marshin's Designs,"39.310913, -76.672002",21216,"""Painters"", ""Pressure Washers""",Construction & Home Improvement
q7z-VOwj39c808codFUGNQ,Dj Nu Kicks,"39.294813, -76.622169",21201,"""DJs""",Professional Services
pJOCu1DaxKwMXZ5tZZbfpg,Behind The Rim,"39.308369, -76.630821",21217,"""Auto Detailing"", ""Car Wash""",Automotive Services
3QoFJXhMYAM6LLuBC1NKZw,JaynaSnaps Photography,"39.294813, -76.622169",21201,"""Session Photography"", ""Event Photography""",Professional Services
Gs3fVNXKuX9RafTl6yj5Iw,Denae Creative,"39.294813, -76.622169",21201,"""Graphic Design"", ""Web Design"", ""Marketing""",Professional Services
3mpaUDTzpiyGAg_BbnHbOA,Kissed By Kham,"39.294813, -76.622169",21201,"""Hair Stylists""",Personal Care
Q6Iur4E4kzciqkIISd6fHQ,Day's Auto Body,"39.291084, -76.599335",21202,"""Body Shops"", ""Tires""",Automotive Services
tw-3g3OB0r-R_CYny5GKIg,Clutch Junk Removal,"39.286185, -76.634976",21223,"""Junk Removal & Hauling""",Construction & Home Improvement
woWXsdVQF4nC3MtT5u8Qig,Shy Watters Hair Studio - Federal Hill,"39.271795, -76.611368",21230,"""Hair Salons""",Personal Care
FcXZb5R0_ONdyJOK9yKc3A,Danielle Coates,"39.294813, -76.622169",21201,"""Business Financing""",Professional Services
kWavKUX7V0UOTpDqytbYfQ,Shareef's Grill,"39.294339, -76.637383",21223,"""Halal"", ""Seafood"", ""Wraps""",Food & Dining
fF9aCQVEX8AKnJtPuQTgIQ,One Man And A Bucket Cleaning,"39.296449, -76.607430",21202,"""Office Cleaning"", ""Home Cleaning""",Professional Services
HU4PmN_WPBENZngA8vlJag,Berkley's Cleaning & Hauling Services,"39.308161, -76.638577",21217,"""Junk Removal & Hauling"", ""Movers""",Construction & Home Improvement
Ly8ahH_A46kGFzlEKngZ7Q,Connie's Chicken And Waffles,"39.284147, -76.593373",21231,"""Waffles"", ""Chicken Wings""",Food & Dining
mQlZ9MSpaE5tsdZzYirucw,Orgazine Clean Declutter,"39.296449, -76.607430",21202,"""Office Cleaning"", ""Home Organization"", ""Carpet Cleaning""",Professional Services
XpvPYX9_kB-3QLQFzsIvNg,Jay's Carpet & Upholstery Cleaning,"39.312170, -76.674230",21216,"""Carpet Cleaning"", ""Home Cleaning""",Professional Services
PlesyY9CSAJ11vr4sF38Nw,Charm City Haulers,"39.302040, -76.599640",21205,"""Junk Removal & Hauling""",Construction & Home Improvement
J7HLofa7f50I_Wa_lWXY-w,Little Italy Pizza on Monroe,"39.283275, -76.646937",21223,"""Pizza"", ""Chicken Wings"", ""Fast Food""",Food & Dining
rjVLCajWG9dZrFqNSiJ-aw,Angel Park Boutique,"39.283370, -76.592760",21231,"""Men's Clothing"", ""Accessories"", ""Shoe Stores""",Retail & Shopping
oHB4tz7aBenlUNG0-5GSRw,Lemonade Selfie Musuem,"39.294970, -76.615270",21202,"""Museums""",Entertainment & Recreation
W4KZpAIUAyY-Dn4xkl9GHg,Humanist Perspective Consulting,"39.295010, -76.612732",21202,"""Business Consulting""",Professional Services
vWKXtejq_0F6cgn2U1FPXA,Crazy Kenny's Junk Cars,"39.314316, -76.582391",21213,"""Junk Removal & Hauling"", ""Towing""",Automotive Services
A6qS_cQWt670Kxc3LMRrHw,Sky Lounge Skin Care,"39.295825, -76.615345",21201,"""Skin Care"", ""Waxing"", ""Teeth Whitening""",Health & Wellness
KqaDIb1j-KlL5RHTBnbsVw,Sacred Space Bmore,"39.330493, -76.628161",21211,"""Reiki""",Health & Wellness
EyzwOeUWwoKGeZcOcVUW0A,Ekiben,"39.285743, -76.594557",21231,"""Asian Fusion"", ""Sandwiches""",Food & Dining
7m4S8gjCHAl2wkFjdVr4Wg,Aventus House,"39.324450, -76.629840",21211,"""Venues & Event Spaces""",Personal Care
-T9i8eUcpI1JYy3pT001Ow,The Real Estate Store of Maryland,"39.319502, -76.621436",21211,"""Real Estate Agents"", ""Notaries""",Professional Services
Iswo-aI7hGd5XX_NlcpQOA,Everest Spice Bar & Grill,"39.284168, -76.593401",21231,"""Barbeque"", ""Cocktail Bars""",Food & Dining
whx6w8DOVQZijICx81iB0w,Reaux,"39.295780, -76.622330",21201,"""Business Consulting"", ""Marketing"", ""Graphic Design""",Professional Services
pEtclg7ti8F1zTB_StDdVQ,Get It Inn Island Cuisine II,"39.285070, -76.586480",21231,"""Caribbean"", ""Bars""",Food & Dining
gpuK7c9pY2bZHn80CtO8kQ,Fleurs d'Ave,"39.310481, -76.637323",21217,"""Florists"", ""Floral Designers"", ""Gift Shops""",Retail & Shopping
_iWvvEnk2kWGgmy-dwiWew,Loving House Holistic Spa,"39.295780, -76.622330",21201,"""Day Spas""",Personal Care
AcM9pxO3ocXTjaaIn52XIQ,Lexington Market,"39.291082, -76.621683",21201,"""Public Markets""",Other
6DpAvDH6jZNn-bBa3X6Fqg,Mr Bobbys Chicken,"39.293259, -76.662412",21223,"""Chicken Wings"", ""Seafood"", ""Soul Food""",Food & Dining
V3HQyLbnamopztN619SxHQ,JayIs@YourService,"39.306000, -76.638260",21217,"""Roadside Assistance""",Automotive Services
jK0tuTkBZKeR5gwIq0QpZA,Kristie Homes Group,"39.296337, -76.621054",21201,"""Property Management""",Professional Services
